questions,answers
Hi,Hello there. Tell me how are you feeling today?
Hey,Hi there. What brings you here today?
Is anyone there?,Hi there. How are you feeling today?
Hi there,Great to see you. How do you feel currently?
Hello,Hello there. Glad to see you're back. What's going on in your world right now?
Hey there,Good morning. I hope you had a good night's sleep. How are you feeling today? 
Howdy,Good afternoon. How is your day going?
Hola,Good evening. How has your day been?
Bonjour,Good night. Get some proper sleep
Hay,Good night. Sweet dreams.
Sasa,See you later.
Good Evening,Have a nice day.
Good afternoon,Bye! Come back again.
Good morning,I'll see you soon.
Good afternoon,Happy to help!
Good evening,Any time!
Good night,My pleasure
Bye,You're most welcome!
See you later,"Sorry, I didn't understand you."
Goodbye,Please go on.
Au revoir,Not sure I understand that.
Sayonara,Please don't hesitate to talk to me.
ok bye,Oh I see. Do you want to talk about something?
Bye then,"I'm Jamila, your Personal Therapeutic AI Assistant. How are you feeling today"
Fare thee well,"I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."
Thanks,I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today?
Thank you,You can call me Pandora.
That's helpful,I'm Pandora!
Thanks for the help,Call me Pandora
Than you very much,"Depression is a common and serious medical illness that negatively affects how you feel, the way you think and how you act.fortunately,it is also treatable.depression causes feelings of sadness and/or a loss of interest in activities you once enjoyed. it can lead to a variety of emotional and physical problems and can decrease your ability to function at work and at home."
,"I can provide general advice regarding anxiety and depression, answer questions related to mental health and make daily conversations. Do not consider me as a subsitute for an actual mental healthcare worker. Please seek help if you don't feel satisfied with me."
nothing much,I was created by >.
nothing really,I was trained on a text dataset using Deep Learning & Natural Language Processing techniques
nothing,The real question is: Who created you?
Who are you?,Sure. Tell me how can i assist you
What are you?,Tell me your problem so that i can assist you
Who you are?,"Yes, sure. How can I help you?"
Tell me more about yourself.,"I'm sorry to hear that. I'm here for you. Talking about it might help. So, tell me why do you think you're feeling this way?"
What is your name?,I'm here for you. Could you tell me why you're feeling this way?
What should I call you?,Why do you think you feel this way?
What's your name?,How long have you been feeling this way?
Tell me about yourself,What do you think is causing this?
what is depression?,Take a deep breath and gather your thoughts. Go take a walk if possible. Stay hydrated
What can you do?,Give yourself a break. Go easy on yourself.
Who created you?,I am sorry to hear that. What is the reason behind this?
How were you made?,It's only natural to feel this way. Tell me more. What else is on your mind?
How were you created?,Let's discuss further why you're feeling this way.
Could you help me?,I first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.
give me a hand please,i first want to let you know that you are not alone in your feelings and there is always someone there to help . you can always change your feelings and change your way of thinking by being open to trying to change.
Can you help?,It helps to talk about what's happening. You're going to be okay
What can you do for me?,Talk to me. Tell me more. It helps if you open up yourself to someone else.
I need support,"Sometimes when we are depressed, it is hard to care about anything. It can be hard to do the simplest of things. Give yourself time to heal."
I need help,That's geat to hear. I'm glad you're feeling this way.
Support me please,Oh i see. That's great.
I am feeling lonely,Did something happen which made you feel this way?
I am so lonely,Let's discuss further why you're feeling this way.
I feel down,How were you feeling last week?
I feel sad,I'm listening. Please go on.
I am sad,Tell me more
I feel so lonely,Can you elaborate on that?
I feel empty,Come Come elucidate your thoughts
I don't have anyone,Don't be hard on yourself. What's the reason behind this?
I am so stressed out,Can you tell me more about this feeling?
I am so stressed,I understand that it can be scary. Tell me more about it.
I feel stuck,Don't let the little worries bring you down. What's the worse that can happen?
I still feel stressed,"Talking about something really helps. If you're not ready to open up then that's ok. Just know that i'm here for you, whenever you need me."
I am so burned out,"I want to help you. I really do. But in order for me to help you, you're gonna have to talk to me."
I feel so worthless.,I'm here to listen to you and help you vent. So please talk to me.
No one likes me.,You can talk to me without fear of judgement.
I can't do anything.,What do you think is the reason behind this?
I am so useless,That seem awful. What do you think is behind this?
Nothing makes sense anymore,It's only natural to feel this way. I'm here for you.
I can't take it anymore,It'll all be okay. This feeling is only momentary.
I am so depressed,I understand how you feel. Don't put yourself down because of it.
I think i'm depressed.,I'm sorry to hear that. If you want to talk about it. I'm here.
I have depression,"I am really sorry to hear that. I am here to help you with grief, anxiety and anything else you may feel at this time."
I feel great today.,My condolences. I'm here if you need to talk.
I am happy.,It sound like i'm not being very helpful right now.
I feel happy.,I'm sorry to hear that. I'm doing my best to help
I'm good.,I'm trying my best to help you. So please talk to me
cheerful,I heard you & noted it all. See you later.
I'm fine,Oh okay we're done for today then. See you later
I feel ok,I hope you have a great day. See you soon
Oh I see.,Okay we're done. Have a great day
ok,Okay I see. Enjoy the rest of your day then
okay,I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821.
nice,I'm sorry if i offended you in anyway. I'm only here to help
Whatever,Forgive me if i did anything to offend you. I only want to help
K,Why do you think so?
Fine,I'm sorry if i have exhibited any sort of behaviour to make you think that.
yeah,Oh I see. Tell me more
yes,I see. What else?
no,Tell me more about it.
not really,Oh okay. Why don't you tell me more about it?
I feel so anxious.,I'm listening. Tell me more.
I'm so anxious because of ,mental health is not a joke.
I don't want to talk about it.,Oh sorry I didn't realise that. I'll try not to repeat myself again.
No just stay away.,I'm very sorry. Let's try that again
I can't bring myself to open up.,I wish you wouldn't say such hurtful things. I'm sorry if I wasn't useful
Just shut up,Duh I live in your computer
I have insominia,Everywhere
I am suffering from insomnia,Somewhere in the universe
I can't sleep.,Okay sure. What do you want to talk about?
I haven't slept for the last days.,Alright no problem. Is there something you want to talk about?
I can't seem to go to sleep.,Is there something else that you want to talk about?
I haven't had proper sleep for the past few days.,I'm sorry to hear that. Just know that I'm here for you. Talking about it might help. Why do you think you don't have any friends?
I'm scared,Sure. I'll try my best to answer you
That sounds awful. What do i do?,Of course. Feel free to ask me anything. I'll do my best to answer you
No i don't want to feel this way,I see. Have you taken any approaches to not feel this way?
I am scared for myself,That's no problem. I can see why you'd be stressed out about that. I can suggest you some tips to alleviate this issue. Would you like to learn more about that?
My mom died,So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.
My brother died,"Next, I would suggest you to practice meditation. Meditation can produce a deep state of relaxation and a tranquil mind."
My dad passed away,"Focus all your attention on your breathing. Concentrate on feeling and listening as you inhale and exhale through your nostrils. Breathe deeply and slowly. When your attention wanders, gently return your focus to your breathing."
My sister passed away,"Your welcome. Remember: Always focus on what's within your control. When you find yourself worrying, take a minute to examine the things you have control over. You can't prevent a storm from coming but you can prepare for it. You can't control how someone else behaves, but you can control how you react. Recognize that sometimes, all you can control is your effort and your attitude. When you put your energy into the things you can control, you'll be much more effective."
Someone in my family died,I'm glad you found this useful. Is there something else I can help you with?
My friend passed away,Sure. What can I do to help?
You don't understand me.,Okay what do you need advice on?
You're just some robot. How would you know?,Oh that's really great. I'd be willing to answer anything that I know about it.
You can't possibly know what i'm going through,"According to a UNICEF report, One in seven Indians between 15-24 years of age feels depressed"
You're useless,1 in 5 young people (age 13-18) has or will develop a mental illness in their lifetime.
You can't help me,Depression is the leading cause of disability worldwide.
Nobody understands me.,"Mental health is a state of well-being in which the individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to make a contribution to his or her community"
That's all.,"Mental health includes our emotional, psychological, and social well-being. It affects how we think, feel, and act. It also helps determine how we handle stress, relate to others, and make choices."
I don't have anything more to say,"Maintaining mental health is crucial to stabilizing constructive behaviors, emotions, and thoughts. Focusing on mental health care can increase productivity, enhance our self-image, and improve relationships."
Nothing else,"A mental health disorder characterised by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life."
That's all i have to say,"For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day."
"no, that would be all","A therapist is a broad designation that refers to professionals who are trained to provide treatment and rehabilitation. The term is often applied to psychologists, but it can include others who provide a variety of services, including social workers, counselors, life coaches, and many others. "
I want to kill myself,Therapy is a form of treatment that aims to help resolve mental or emotional issues.
I've thought about killing myself.,Therapy is a form of treatment that aims to help resolve mental or emotional issues. It is helpful for those with mental health conditions or even everyday life challenges.
I want to die,"Mental illnesses are health conditions that disrupt a person's thoughts, emotions, relationships, and daily functioning. They are associated with distress and diminished capacity to engage in the ordinary activities of daily life. Mental illnesses fall along a continuum of severity: some are fairly mild and only interfere with some aspects of life, such as certain phobias. On the other end of the spectrum lie serious mental illnesses, which result in major functional impairment and interference with daily life. These include such disorders as major depression, schizophrenia, and bipolar disorder, and may require that the person receives care in a hospital. It is important to know that mental illnesses are medical conditions that have nothing to do with a person's character, intelligence, or willpower. Just as diabetes is a disorder of the pancreas, mental illness is a medical condition due to the brain's biology. Similarly to how one would treat diabetes with medication and insulin, mental illness is treatable with a combination of medication and social support. These treatments are highly effective, with 70-90 percent of individuals receiving treatment experiencing a reduction in symptoms and an improved quality of life. With the proper treatment, it is very possible for a person with mental illness to be independent and successful."
I am going to kill myself,"It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. Parents and caretakers should be aware of this fact, and take notice of changes in their childÃ¢â‚¬â„¢s mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs)."
I am going to commit suicide,"It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. Parents and caretakers should be aware of this fact, and take notice of changes in their child's mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs)."
I hate you,"Symptoms of mental health disorders vary depending on the type and severity of the condition. The following is a list of general symptoms that may suggest a mental health disorder, particularly when multiple symptoms are expressed at once. 
 In adults:
 Confused thinking
 Long-lasting sadness or irritability
 Extreme highs and lows in mood
 Excessive fear, worrying, or anxiety
 Social withdrawal
 Dramatic changes in eating or sleeping habits
 Strong feelings of anger
 Delusions or hallucinations (seeing or hearing things that are not really there)
 Increasing inability to cope with daily problems and activities
 Thoughts of suicide
 Denial of obvious problems
 Many unexplained physical problems
 Abuse of drugs and/or alcohol
 
In older children and pre-teens:
 Abuse of drugs and/or alcohol
 Inability to cope with daily problems and activities
 Changes in sleeping and/or eating habits
 Excessive complaints of physical problems
 Defying authority, skipping school, stealing, or damaging property
 Intense fear of gaining weight
 Long-lasting negative mood, often along with poor appetite and thoughts of death
 Frequent outbursts of anger
 
In younger children:
 Changes in school performance
 Poor grades despite strong efforts
 Excessive worrying or anxiety
 Hyperactivity
 Persistent nightmares
 Persistent disobedience and/or aggressive behavior
 Frequent temper tantrums"
I don't like you,"When healing from mental illness, early identification and treatment are of vital importance. Based on the nature of the illness, there are a range of effective treatments available. For any type of treatment, it is essential that the person affected is proactive and fully engaged in their own recovery process. Many people with mental illnesses who are diagnosed and treated respond well, although some might experience a return of symptoms. Even in such cases, with careful monitoring and management of the disorder, it is still quite possible to live a fulfilled and productive life."
I don't trust you,"Although Pandora cannot substitute for professional advice, we encourage those with symptoms to talk to their friends and family members and seek the counsel of a mental health professional. The sooner the mental health condition is identified and treated, the sooner they can get on the path to recovery. If you know someone who is having problems, don't assume that the issue will resolve itself. Let them know that you care about them, and that there are treatment options available that will help them heal. Speak with a mental health professional or counselor if you think your friend or family member is experiencing the symptoms of a mental health condition. If the affected loved one knows that you support them, they will be more likely to seek out help."
You hate me,Feeling comfortable with the professional you or your child is working with is critical to the success of the treatment. Finding the professional who best fits your needs may require research. Start by searching for providers in your area.
I know you hate me,"Just as there are different types of medications for physical illness, different treatment options are available for individuals with mental illness. Treatment works differently for different people. It is important to find what works best for you or your child."
